Location,Month,Prices
"Charlottetown, Prince Edward Island",Sep-91,60.2
"Charlottetown, Prince Edward Island",Oct-91,61.1
"Charlottetown, Prince Edward Island",Nov-91,61.1
"Charlottetown, Prince Edward Island",Dec-91,61.2
"Charlottetown, Prince Edward Island",Jan-92,61.5
"Charlottetown, Prince Edward Island",Feb-92,61.5
"Charlottetown, Prince Edward Island",Mar-92,61.2
"Charlottetown, Prince Edward Island",Apr-92,60.1
"Charlottetown, Prince Edward Island",May-92,60.3
"Charlottetown, Prince Edward Island",Jun-92,60.1
"Charlottetown, Prince Edward Island",Jul-92,60.1
"Charlottetown, Prince Edward Island",Aug-92,60.9
"Charlottetown, Prince Edward Island",Sep-92,60.8
"Charlottetown, Prince Edward Island",Oct-92,60.9
"Charlottetown, Prince Edward Island",Nov-92,60.9
"Charlottetown, Prince Edward Island",Dec-92,60.9
"Charlottetown, Prince Edward Island",Jan-93,58.9
"Charlottetown, Prince Edward Island",Feb-93,58.9
"Charlottetown, Prince Edward Island",Mar-93,58.9
"Charlottetown, Prince Edward Island",Apr-93,56.4
"Charlottetown, Prince Edward Island",May-93,55.9
"Charlottetown, Prince Edward Island",Jun-93,55.6
"Charlottetown, Prince Edward Island",Jul-93,56.2
"Charlottetown, Prince Edward Island",Aug-93,56.2
"Charlottetown, Prince Edward Island",Sep-93,56.2
"Charlottetown, Prince Edward Island",Oct-93,56.1
"Charlottetown, Prince Edward Island",Nov-93,56.1
"Charlottetown, Prince Edward Island",Dec-93,56
"Charlottetown, Prince Edward Island",Jan-94,52.8
"Charlottetown, Prince Edward Island",Feb-94,52.6
"Charlottetown, Prince Edward Island",Mar-94,52.6
"Charlottetown, Prince Edward Island",Apr-94,53
"Charlottetown, Prince Edward Island",May-94,53.9
"Charlottetown, Prince Edward Island",Jun-94,53.9
"Charlottetown, Prince Edward Island",Jul-94,55
"Charlottetown, Prince Edward Island",Aug-94,56.1
"Charlottetown, Prince Edward Island",Sep-94,56.9
"Charlottetown, Prince Edward Island",Oct-94,57.9
"Charlottetown, Prince Edward Island",Nov-94,57.8
"Charlottetown, Prince Edward Island",Dec-94,57.6
"Charlottetown, Prince Edward Island",Jan-95,57.6
"Charlottetown, Prince Edward Island",Feb-95,57.6
"Charlottetown, Prince Edward Island",Mar-95,59.3
"Charlottetown, Prince Edward Island",Apr-95,59.2
"Charlottetown, Prince Edward Island",May-95,59.6
"Charlottetown, Prince Edward Island",Jun-95,60.1
"Charlottetown, Prince Edward Island",Jul-95,60.5
"Charlottetown, Prince Edward Island",Aug-95,60.4
"Charlottetown, Prince Edward Island",Sep-95,60.2
"Charlottetown, Prince Edward Island",Oct-95,60.1
"Charlottetown, Prince Edward Island",Nov-95,59.2
"Charlottetown, Prince Edward Island",Dec-95,57.8
"Charlottetown, Prince Edward Island",Jan-96,57.7
"Charlottetown, Prince Edward Island",Feb-96,57.7
"Charlottetown, Prince Edward Island",Mar-96,58.4
"Charlottetown, Prince Edward Island",Apr-96,59.2
"Charlottetown, Prince Edward Island",May-96,59.5
"Charlottetown, Prince Edward Island",Jun-96,59.8
"Charlottetown, Prince Edward Island",Jul-96,58.8
"Charlottetown, Prince Edward Island",Aug-96,58.7
"Charlottetown, Prince Edward Island",Sep-96,58.7
"Charlottetown, Prince Edward Island",Oct-96,58.7
"Charlottetown, Prince Edward Island",Nov-96,61.4
"Charlottetown, Prince Edward Island",Dec-96,61.2
"Charlottetown, Prince Edward Island",Jan-97,62.7
"Charlottetown, Prince Edward Island",Feb-97,62.7
"Charlottetown, Prince Edward Island",Mar-97,63.1
"Charlottetown, Prince Edward Island",Apr-97,63.5
"Charlottetown, Prince Edward Island",May-97,61.9
"Charlottetown, Prince Edward Island",Jun-97,60.3
"Charlottetown, Prince Edward Island",Jul-97,59
"Charlottetown, Prince Edward Island",Aug-97,59
"Charlottetown, Prince Edward Island",Sep-97,58.5
"Charlottetown, Prince Edward Island",Oct-97,58.5
"Charlottetown, Prince Edward Island",Nov-97,59.3
"Charlottetown, Prince Edward Island",Dec-97,59.2
