Location,Month,Prices
"Halifax, Nova Scotia",May-93,..
"Halifax, Nova Scotia",Jun-93,..
"Halifax, Nova Scotia",Jul-93,..
"Halifax, Nova Scotia",Aug-93,..
"Halifax, Nova Scotia",Sep-93,..
"Halifax, Nova Scotia",Oct-93,..
"Halifax, Nova Scotia",Nov-93,..
"Halifax, Nova Scotia",Dec-93,..
"Halifax, Nova Scotia",Jan-94,..
"Halifax, Nova Scotia",Feb-94,..
"Halifax, Nova Scotia",Mar-94,..
"Halifax, Nova Scotia",Apr-94,..
"Halifax, Nova Scotia",May-94,..
"Halifax, Nova Scotia",Jun-94,..
"Halifax, Nova Scotia",Jul-94,..
"Halifax, Nova Scotia",Aug-94,..
"Halifax, Nova Scotia",Sep-94,..
"Halifax, Nova Scotia",Oct-94,..
"Halifax, Nova Scotia",Nov-94,..
"Halifax, Nova Scotia",Dec-94,..
"Halifax, Nova Scotia",Jan-95,..
"Halifax, Nova Scotia",Feb-95,..
"Halifax, Nova Scotia",Mar-95,..
"Halifax, Nova Scotia",Apr-95,..
"Halifax, Nova Scotia",May-95,..
"Halifax, Nova Scotia",Jun-95,..
"Halifax, Nova Scotia",Jul-95,..
"Halifax, Nova Scotia",Aug-95,..
"Halifax, Nova Scotia",Sep-95,..
"Halifax, Nova Scotia",Oct-95,..
"Halifax, Nova Scotia",Nov-95,..
"Halifax, Nova Scotia",Dec-95,..
"Halifax, Nova Scotia",Jan-96,..
"Halifax, Nova Scotia",Feb-96,..
"Halifax, Nova Scotia",Mar-96,..
"Halifax, Nova Scotia",Apr-96,..
"Halifax, Nova Scotia",May-96,..
"Halifax, Nova Scotia",Jun-96,..
"Halifax, Nova Scotia",Jul-96,..
"Halifax, Nova Scotia",Aug-96,..
"Halifax, Nova Scotia",Sep-96,..
"Halifax, Nova Scotia",Oct-96,..
"Halifax, Nova Scotia",Nov-96,..
"Halifax, Nova Scotia",Dec-96,..
"Halifax, Nova Scotia",Jan-97,..
"Halifax, Nova Scotia",Feb-97,..
"Halifax, Nova Scotia",Mar-97,..
"Halifax, Nova Scotia",Apr-97,..
"Halifax, Nova Scotia",May-97,..
"Halifax, Nova Scotia",Jun-97,..
"Halifax, Nova Scotia",Jul-97,..
"Halifax, Nova Scotia",Aug-97,..
"Halifax, Nova Scotia",Sep-97,..
"Halifax, Nova Scotia",Oct-97,..
"Halifax, Nova Scotia",Nov-97,..
"Halifax, Nova Scotia",Dec-97,..
"Halifax, Nova Scotia",Jan-98,..
"Halifax, Nova Scotia",Feb-98,..
"Halifax, Nova Scotia",Mar-98,..
"Halifax, Nova Scotia",Apr-98,..
"Halifax, Nova Scotia",May-98,..
"Halifax, Nova Scotia",Jun-98,..
"Halifax, Nova Scotia",Jul-98,..
"Halifax, Nova Scotia",Aug-98,..
"Halifax, Nova Scotia",Sep-98,..
"Halifax, Nova Scotia",Oct-98,..
"Halifax, Nova Scotia",Nov-98,..
"Halifax, Nova Scotia",Dec-98,..
"Halifax, Nova Scotia",Jan-99,..
"Halifax, Nova Scotia",Feb-99,..
"Halifax, Nova Scotia",Mar-99,..
"Halifax, Nova Scotia",Apr-99,..
"Halifax, Nova Scotia",May-99,..
"Halifax, Nova Scotia",Jun-99,..
"Halifax, Nova Scotia",Jul-99,..
"Halifax, Nova Scotia",Aug-99,..
"Halifax, Nova Scotia",Sep-99,..
"Halifax, Nova Scotia",Oct-99,..
"Halifax, Nova Scotia",Nov-99,..
"Halifax, Nova Scotia",Dec-99,..
"Halifax, Nova Scotia",Jan-00,..
"Halifax, Nova Scotia",Feb-00,..
"Halifax, Nova Scotia",Mar-00,..
"Halifax, Nova Scotia",Apr-00,..
"Halifax, Nova Scotia",May-00,..
"Halifax, Nova Scotia",Jun-00,..
"Halifax, Nova Scotia",Jul-00,..
"Halifax, Nova Scotia",Aug-00,..
"Halifax, Nova Scotia",Sep-00,..
"Halifax, Nova Scotia",Oct-00,..
"Halifax, Nova Scotia",Nov-00,..
"Halifax, Nova Scotia",Dec-00,..
"Halifax, Nova Scotia",Jan-01,..
"Halifax, Nova Scotia",Feb-01,..
"Halifax, Nova Scotia",Mar-01,..
"Halifax, Nova Scotia",Apr-01,..
"Halifax, Nova Scotia",May-01,..
"Halifax, Nova Scotia",Jun-01,..
"Halifax, Nova Scotia",Jul-01,..
"Halifax, Nova Scotia",Aug-01,..
"Halifax, Nova Scotia",Sep-01,..
"Halifax, Nova Scotia",Oct-01,..
